name,description,brand,size_by_ml,six,type,old_price,price
ck one shock,"ck one shock by calvin klein for men - eau de toilette, 100ml",calvin klein ,100,men,toilette,220.00 SAR,95.97
euphoria,"euphoria by calvin klein for women - eau de parfum, 50ml",calvin klein ,50,women,parfum,294.00 SAR,109.92
brit rhythm,"brit rhythm by burberry for men - eau de toilette, 90ml",burberry ,90,men,toilette,251.00 SAR,116.27
versace man eau fraiche,"versace man eau fraiche by versace for men - eau de toilette, 100 ml",versace ,100,men,toilette,355.00 SAR,168.67
5th avenue,"5th avenue by elizabeth arden for women - eau de parfum, 75 ml",elizabeth arden ,75,women,parfum,166.00 SAR,74.97
red door,"red door by elizabeth arden for women - eau de toilette, 100ml",elizabeth arden ,100,women,toilette,168.00 SAR,98.99
gucci oud,"gucci oud by gucci for men & women - eau de parfum, 75ml",gucci ,75,unisex,parfum,359.00 SAR,253.83
burberry london,"burberry london for women - eau de parfum, 50ml",na,50,women,parfum,273.00 SAR,98.85
my burberry,"my burberry by burberry for women, 50ml - eau de toilette",burberry ,50,women,toilette,321.00 SAR,185.00
boss bottled oud,"boss bottled oud by hugo boss for men - eau de parfum, 100ml",hugo boss ,100,men,parfum,357.00 SAR,177.98
the one royal night,"the one royal night by dolce & gabbana for men - eau de parfum, 150 ml",dolce & gabbana ,150,men,parfum,625.00 SAR,388.00
212 vip,"212 vip by carolina herrera for men - eau de toilette, 100ml",carolina herrera ,100,men,toilette,305.00 SAR,246.95
flora,"flora by gucci for women - eau de toilette, 50ml",gucci ,50,women,toilette,199.00 SAR,143.94
boss bottled night,"boss bottled night by hugo boss for men - eau de toilette, 100ml",hugo boss ,100,men,toilette,263.00 SAR,124.43
body intense,"body intense by burberry for women - eau de parfum, 60ml",burberry ,60,women,parfum,315.00 SAR,122.89
secret obsession,"secret obsession by calvin klein for women - eau de parfum , 100 ml",calvin klein ,100,women,parfum,273.00 SAR,120.00
aqva pour homme marine,"aqva pour homme marine by bvlgari for men - eau de toilette, 100ml",bvlgari ,100,men,toilette,414.00 SAR,209.95
1 million,"1 million by paco rabanne for men - eau de toilette, 50ml",paco rabanne ,50,men,toilette,210.00 SAR,147.60
custom,"custom by dunhill for men - eau de toilette, 50ml",dunhill ,50,men,toilette,158.00 SAR,88.48
davidoff cool water,"davidoff cool water for men - eau de toilette, 75ml",na,75,men,toilette,132.00 SAR,67.99
sauvage,"sauvage by dior for men - eau de toilette, 60ml",dior ,60,men,toilette,550.00 SAR,282.68
hugo boss,"hugo boss for men - eau de toilette, 75ml",na,75,men,toilette,167.00 SAR,107.66
dior oud ispahan,"dior oud ispahan for unisex - eau de parfum, 125ml",na,125,unisex,parfum,"1,313.00 SAR",898.98
